Year,"SUM of Lung and Bronchus (male) (deaths per 100,000 individuals)"
1930,4.3
1931,4.7
1932,5.4
1933,5.7
1934,6.4
1935,7.5
1936,8
1937,9
1938,9.9
1939,10.5
1940,11.6
1941,12.3
1942,13.1
1943,14
1944,14.8
1945,16
1946,18.1
1947,20.5
1948,22.6
1949,22.3
1950,24.3
1951,25.8
1952,28
1953,30.4
1954,31.7
1955,33.9
1956,36.4
1957,37.9
1958,39.2
1959,41.3
1960,43.5
1961,45.5
1962,47.9
1963,49.9
1964,51.7
1965,54.1
1966,56.7
1967,59.3
1968,63.5
1969,65.6
1970,68.1
1971,70.4
1972,72.7
1973,73.7
1974,75.8
1975,77.2
1976,79.3
1977,81.2
1978,82.8
1979,83.5
1980,85.3
1981,85.7
1982,87.4
1983,87.7
1984,88.8
1985,89.1
1986,89.5
1987,90.6
1988,90.4
1989,90.4
1990,91.1
1991,90.4
1992,88.6
1993,88.1
1994,86.1
1995,84.8
1996,83.3
1997,81.8
1998,80.3
1999,77.3
2000,76.8
2001,75.7
2002,74
2003,72.3
2004,70.7
2005,69.7
2006,67.6
2007,65.4
2008,63.9
2009,61.7
2010,60.3
2011,58.1
